,Data Year,ID,Property Name,Address,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,Electricity Use (kBtu),Natural Gas Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude
1,2020,232458,Harper Square Cooperative,4800 - 4850 S Lake Park Ave,1.0,False,KENWOOD,Multifamily Housing,627680.0,1974.0,16397682.8,43537490.6,95.5,146.0,100.3,150.7,4871.7,7.8,41.80747487,-87.59126397
2,2020,254616,Former Coyne College,330 N Green St,2.0,False,NEAR WEST SIDE,Office,555524.0,2019.0,28606427.7,2199940.1,55.5,148.3,56.7,151.8,4581.4,8.2,41.873335,-87.65102071
3,2020,103812,400 W Superior St,400 W Superior St,3.0,False,NEAR NORTH SIDE,Office,130007.0,1998.0,6489281.3,1493523.2,61.4,151.8,63.0,154.8,1092.1,8.4,41.89575232,-87.638901
4,2020,254073,Blue Moon Lofts,215 N. Aberdeen St.,4.0,False,NEAR WEST SIDE,Multifamily Housing,83000.0,1908.0,1614582.3,825006.6,29.4,64.9,29.6,64.3,295.8,3.6,41.87429514,-87.65017516
5,2020,254385,"Ambulatory Care Center, St. Bernard Hospital",6307 S STEWART AVE,2.5,False,Englewood,Medical Office,98018.0,2016.0,4204723.5,2236782.3,96.7,211.9,98.0,212.8,775.0,11.6,41.77391183,-87.63872071
8,2020,157607,Hilliard Homes Limited Partnership (Senior),2111 S Clark Ave,3.5,False,NEAR SOUTH SIDE,Multifamily Housing,311326.0,1966.0,4993793.0,15777294.8,80.1,117.8,82.9,120.3,1617.4,6.2,41.853983,-87.630083
9,2020,254329,901 South Plymouth Condominium Association,901 S Plymouth Ct,3.5,False,Loop,Multifamily Housing,199600.0,1979.0,5821462.7,4643106.7,64.7,131.0,68.7,139.8,1155.2,7.1,41.8682103,-87.62733
11,2020,250020,Gage Park,2411 W 55th St,2.0,False,GAGE PARK,Other - Recreation,64960.0,1926.0,847144.0,6955745.2,132.3,164.1,142.2,174.5,501.7,8.5,41.79382847,-87.68432907
12,2020,254001,,4434 4444 N Damen Ave,2.5,False,North Center,Multifamily Housing,53800.0,2006.0,2985049.6,5693982.0,78.2,129.2,81.2,133.1,768.3,6.9,41.9720897,-87.70256
13,2020,251757,"Thorp Scholastic Academy, Ole A -CPS",6024 W Warwick Ave,4.0,False,DUNNING,K-12 School,93200.0,1918.0,1246831.5,5832379.9,76.0,103.2,86.5,114.3,504.4,5.4,41.94895308,-87.77785435
14,2020,250165,River East Center Campus,322 E Illinois St,1.0,False,NEAR NORTH SIDE,Mixed Use Property,1975361.0,2001.0,64410587.3,102156516.4,110.2,190.3,111.5,191.4,15478.5,10.2,41.8914469,-87.61889748
15,2020,157100,,1611  W DIVISION ST,4.0,False,WEST TOWN,Multifamily Housing,112734.0,2013.0,2292017.8,4175204.4,59.4,99.2,59.8,100.2,579.5,5.3,41.90225377,-87.68447845
16,2020,101722,500 W Monroe,500 W Monroe,1.0,False,NEAR WEST SIDE,Office,1554884.0,1992.0,98139027.4,,85.5,239.3,92.1,257.8,15316.5,13.3,41.880609,-87.639778
17,2020,101815,,4845 4859 N MAGNOLIA AVE,4.0,False,UPTOWN,Multifamily Housing,50986.0,1916.0,417741.4,3243596.1,71.8,89.7,76.5,94.7,237.5,4.7,41.97223008,-87.6645957
18,2020,251714,Lloyd Elementary -CPS,2103 N Lamon Ave,2.5,False,BELMONT CRAGIN,K-12 School,150436.0,1907.0,4506708.5,7731610.1,81.4,137.8,88.0,144.8,1114.0,7.4,41.91901757,-87.74788079
19,2020,175477,,1617 1633 W BELMONT AVE,3.0,False,LAKE VIEW,Multifamily Housing,56880.0,1928.0,652896.4,4629361.5,92.9,117.6,103.1,127.7,347.8,6.1,41.9398511,-87.65844752
20,2020,112141,,3470  N LAKE SHORE DR,3.0,False,LAKE VIEW,Multifamily Housing,155144.0,1968.0,2550176.6,7203545.7,73.6,111.0,77.6,115.2,780.6,5.9,41.9398511,-87.65844752
21,2020,101910,Michael A. Bilandic Building,160 N LaSalle St,4.0,False,LOOP,Office,464498.0,1920.0,13045901.7,12600101.5,55.2,107.1,57.7,109.8,2705.3,5.8,41.88474397,-87.63249596
22,2020,159419,"Fifth Praire Shores, LLC",2801 S King Dr,1.0,False,DOUGLAS,Multifamily Housing,289267.0,1960.0,4709257.4,32647070.7,129.1,164.1,137.5,172.9,2469.0,8.5,41.84364282,-87.61673336
23,2020,256550,NEMA Chicago,1200 S Indiana Ave,3.5,False,Near South Side,Multifamily Housing,1343820.0,2019.0,32621765.2,38781158.3,64.3,118.9,65.2,117.8,7151.1,6.4,41.865858,-87.6195328
24,2020,255023,Clybourn1200,454 W DIVISION ST,2.0,False,Near North Side,Multifamily Housing,159968.0,2017.0,3595190.0,6327708.9,75.4,126.9,77.9,130.5,897.2,6.8,41.9037676,-87.63983401
25,2020,166122,"Rudolph, Wilma Elementary Learning Center/ Hope Institute -CPS",1628 W Washington Blvd,4.0,False,NEAR WEST SIDE,K-12 School,263250.0,1928.0,4772375.0,7730980.2,47.5,81.6,49.4,83.6,1155.5,4.4,41.88332,-87.667592
27,2020,134516,,321 339 S DESPLAINES ST,2.0,False,NEAR WEST SIDE,Multifamily Housing,178336.0,1924.0,5499154.7,7444594.3,72.6,130.2,74.9,132.2,1253.7,7.0,41.88321395,-87.64336601
28,2020,254102,Residences at the VIC,3140 N Sheffield Ave,4.0,False,Lake View,Multifamily Housing,148500.0,2007.0,1555012.2,2847150.0,37.4,62.4,38.8,64.1,393.9,3.3,41.9393396,-87.65423
30,2020,113507,LaSalle Terrace Condominium Association,1540 N LaSalle St,2.5,False,NEAR NORTH SIDE,Multifamily Housing,166700.0,1976.0,4079885.6,8584849.7,83.9,135.3,87.4,138.8,1092.7,7.2,41.91023785,-87.63363509
31,2020,147565,Lakeside Lofts,2025  S INDIANA AVE,4.0,False,NEAR SOUTH SIDE,Multifamily Housing,101333.0,2006.0,1761482.5,5144159.1,68.1,102.0,70.5,104.1,548.1,5.4,41.84550365,-87.63055693
32,2020,251889,Smyser -CPS,4310 N Melvina Ave,4.0,False,PORTAGE PARK,K-12 School,78111.0,1932.0,1313825.7,3965590.1,67.6,100.4,75.7,109.6,415.7,5.3,41.95925122,-87.78261967
33,2020,172640,,832 890 W 103RD ST,1.5,False,WASHINGTON HEIGHTS,Senior Living Community,65505.0,2001.0,1807114.6,4835400.0,101.4,154.8,105.1,157.9,538.9,8.2,41.6981819,-87.66236671
34,2020,244613,Fairbanks at Cityfront Plaza,240 E Illinois St,4.0,False,NEAR NORTH SIDE,Multifamily Housing,819946.0,2006.0,18128454.4,42229277.5,102.0,160.6,104.8,163.9,5072.3,8.6,41.89139925,-87.62079715
38,2020,159733,,4827 N SHERIDAN RD,2.0,False,UPTOWN,Multifamily Housing,189225.0,1967.0,2974779.6,13988381.3,103.4,140.3,109.0,146.2,1207.3,7.4,41.96968174,-87.6544131
39,2020,173476,St. Demetrios Greek Orthodox Church,2727 W WINONA ST,4.0,False,LINCOLN SQUARE,Worship Facility,68141.0,1924.0,400830.8,1780584.4,34.5,47.4,41.0,54.1,157.1,2.5,41.97419798,-87.696868
40,2020,100533,Englewood Academy HS -CPS,6201 S Stewart Ave,2.0,False,ENGLEWOOD,K-12 School,188800.0,1979.0,7213052.0,12271600.2,103.2,175.2,107.5,179.8,1777.5,9.4,41.78205573,-87.63426731
42,2020,101961,Inland Steel Building,30 W Monroe,3.0,False,LOOP,Office,311003.0,1958.0,8659372.7,19525200.4,93.6,148.7,98.4,153.7,2388.5,7.9,41.88108964,-87.62858918
43,2020,173857,,5230 5244 N SHERIDAN RD,2.5,False,EDGEWATER,Multifamily Housing,200000.0,1920.0,2734994.3,16121333.0,94.3,122.9,99.8,128.7,1283.1,6.4,41.97223008,-87.6645957
44,2020,242563,(IL279) - 212 W Washington Condo,212 W Washington St,2.0,False,LOOP,Multifamily Housing,344323.0,1912.0,8344073.4,12464463.5,74.9,131.2,78.1,134.4,1964.3,7.1,41.88326842,-87.63512143
45,2020,116752,Ike Sims Village,3333  W MAYPOLE AVE,1.0,False,EAST GARFIELD PARK,Multifamily Housing,68664.0,1981.0,3806013.4,2429039.2,90.8,192.3,93.7,198.9,723.0,10.5,41.8808242,-87.72327934
46,2020,115046,4200 N Marine Drive,4200 4212 N MARINE DR,1.5,False,UPTOWN,Multifamily Housing,114400.0,1957.0,1707115.8,7366474.7,79.3,109.4,84.0,114.3,657.7,5.7,41.95402016,-87.6620278
48,2020,222943,University Park Condominium Association,1451 E 55th St,4.0,False,HYDE PARK,Multifamily Housing,579783.0,1961.0,1287153.1,48472538.7,92.3,101.1,98.9,107.9,2775.5,5.1,41.79535144,-87.59076509
49,2020,118892,Parc Chestnut Condominium Association,849 N Franklin St,2.0,False,NEAR NORTH SIDE,Multifamily Housing,490568.0,2006.0,11421519.7,19866551.2,82.4,139.2,85.4,141.7,2837.8,7.5,41.897733,-87.635684
51,2020,160383,,2631 S Indiana Ave,3.5,False,DOUGLAS,Multifamily Housing,247000.0,1972.0,4511342.8,17590419.5,89.5,125.9,93.9,130.5,1638.4,6.6,41.84526992,-87.62201708
52,2020,251451,Madero Middle -CPS,3202 W 28th St,2.0,False,SOUTH LAWNDALE,K-12 School,62071.0,1996.0,2363458.7,3809910.0,99.5,171.1,103.0,174.1,571.2,9.2,41.840909,-87.705078
53,2020,254153,Terra Cotta Commons Condominium,1760 W Wrightwood Ave,4.0,False,Lincoln Park,Multifamily Housing,63110.0,1920.0,825649.4,1711368.1,50.8,82.2,52.5,83.2,219.8,4.4,41.8842525,-87.63245
54,2020,251235,,110 E Delaware,1.0,False,NEAR NORTH SIDE,Multifamily Housing,108587.0,1981.0,5844800.9,1545771.6,77.6,188.9,81.3,198.9,994.3,10.4,41.8992147,-87.62541324
55,2020,102336,Institute of Cultural Affairs,4750 N Sheridan Rd,4.0,False,UPTOWN,Office,206154.0,1921.0,2249637.3,9225368.1,66.0,90.7,70.0,94.6,926.8,5.1,41.96865627,-87.65524596
56,2020,160198,"The Blackstone, A Renaissance Hotel",636 S Michigan Ave,4.0,False,LOOP,Hotel,385000.0,2008.0,6875145.0,11153711.0,46.8,80.4,46.8,80.4,1665.4,4.3,41.87333117,-87.62422947
57,2020,256736,Jane Addams Elementary School,10810 S Avenue H,1.5,False,,K-12 School,54000.0,1948.0,1563900.9,3503850.2,81.7,129.9,92.7,144.4,430.2,6.9,41.74246,-87.58007
60,2020,148673,,1154  N CAMPBELL,1.0,False,WEST TOWN,Multifamily Housing,52240.0,2005.0,2329570.1,3276799.9,107.6,191.0,111.8,194.8,537.6,10.3,41.90225377,-87.68447845
62,2020,160186,Crowne Plaza Chicago Metro,733 W Madison St,4.0,False,NEAR WEST SIDE,Hotel,114000.0,1968.0,6706204.5,7115700.2,69.1,131.2,71.7,136.0,1424.6,7.1,41.88176792,-87.6467544
63,2020,175523,222 West Hubbard Street,222 W Hubbard St,3.5,False,NEAR NORTH SIDE,Office,66095.0,1905.0,2260402.2,1730722.9,60.4,123.3,62.8,125.8,444.7,6.7,41.89022006,-87.63488473
64,2020,254164,,6515 N Kenmore Ave,4.0,False,Rogers Park,Library,124285.0,1930.0,4264045.2,3398007.0,61.6,124.8,65.2,128.5,846.0,6.8,42.00094554,-87.65816364
67,2020,251416,Linne Elementary -CPS,3221 N Sacramento Ave,4.0,False,AVONDALE,K-12 School,105920.0,1895.0,1690363.0,3212050.0,46.3,76.5,50.4,81.4,434.4,4.1,41.94009886,-87.70193107
68,2020,251898,Durkin Park Elementary -CPS,8445 S Kolin Ave,3.5,False,ASHBURN,K-12 School,79722.0,1961.0,2216222.5,2182680.0,55.2,106.6,57.5,109.0,461.8,5.8,41.73937185,-87.73003923
69,2020,244200,Michigan Avenue Tower Condominium Association,1250 S Michigan Ave,3.5,False,NEAR SOUTH SIDE,Multifamily Housing,441181.0,2008.0,11810740.5,14165958.4,64.5,119.1,66.8,122.8,2595.7,6.4,41.8659887,-87.624587
70,2020,100730,Congress Center,525 W Van Buren,4.0,False,NEAR WEST SIDE,Office,539738.0,2000.0,22640612.2,,42.9,120.2,44.5,124.6,3533.5,6.7,41.87630749,-87.6401831
71,2020,253957,,7201-09 S Yates Blvd,1.0,False,SOUTH SHORE,Multifamily Housing,101200.0,1926.0,1340556.3,9883868.5,110.9,139.6,118.0,147.1,734.2,7.3,41.76263015,-87.57255287
73,2020,101999,,1415  W LUNT AVE,3.5,False,ROGERS PARK,Multifamily Housing,52000.0,1972.0,837584.5,2768148.0,85.9,125.0,90.7,129.4,277.8,6.6,42.01036185,-87.66829765
74,2020,252071,Library Tower Condo Assoc.,520 S State St,3.5,False,LOOP,Multifamily Housing,387025.0,2008.0,7950181.2,14376343.1,61.4,102.7,63.6,105.1,2004.4,5.5,41.87510719,-87.6279746
75,2020,251574,Ariel Elemenentary-CPS,1119 E 46th St,2.5,False,KENWOOD,K-12 School,147109.0,1893.0,4164781.0,8226969.9,84.2,138.0,89.1,141.3,1087.0,7.4,41.81098941,-87.59800845
77,2020,251668,Ravenswood Elementary -CPS,4332 N Paulina St,4.0,False,LAKE VIEW,K-12 School,76423.0,1915.0,947881.0,4502900.4,71.3,96.6,76.1,101.6,387.1,5.1,41.96092641,-87.6712754
79,2020,252104,Warner Brothers,2650 W Bradley Pl,2.0,False,North Center,Office,275000.0,1981.0,14878881.9,4162790.1,126.9,306.9,129.6,309.6,2543.2,17.0,41.9494826,-87.6937
80,2020,173888,,6628  N SHERIDAN RD,4.0,False,ROGERS PARK,Residence Hall/Dormitory,85129.0,1971.0,1479114.6,2938900.2,51.9,84.9,55.8,89.0,386.9,4.5,42.01036185,-87.66829765
81,2020,251593,"Clay Elementary, Henry -CPS",13221 S Burley,3.0,False,HEGEWISCH,K-12 School,81950.0,1917.0,1370731.8,5550389.7,84.5,117.9,97.5,131.7,508.7,6.2,41.655086,-87.544686
82,2020,234641,Winston Towers II,6833 N Kedzie Ave,1.0,False,WEST RIDGE,Multifamily Housing,360669.0,1966.0,6925520.8,23023027.5,114.9,167.2,121.8,172.8,2303.7,8.8,42.00574707,-87.70855729
83,2020,254048,Catholic Charities: St. Leo Residence,7750 S Emerald Ave,1.5,False,Auburn Gresham,Multifamily Housing,67170.0,2006.0,2413440.7,4708995.6,108.5,178.3,110.4,180.3,626.8,9.5,41.73979805,-87.65349931
84,2020,119039,Churchview Manors and Churview supportive Living,2626 2644 W 63RD ST,1.0,False,CHICAGO LAWN,Senior Living Community,74185.0,2004.0,2325856.1,5277976.8,112.8,178.9,117.5,184.6,643.3,9.5,41.77517105,-87.71389848
85,2020,251429,Mayo Elementary -CPS,245 E 37th St,4.0,False,DOUGLAS,K-12 School,62750.0,1961.0,1044686.8,3067909.7,65.5,98.0,70.3,103.5,326.0,5.2,41.827401,-87.620126
86,2020,172485,,36 50 N MENARD AVE,4.0,False,AUSTIN,Multifamily Housing,91968.0,1930.0,927569.2,3339321.9,62.8,89.8,65.6,92.6,322.1,4.7,41.88039405,-87.75826967
87,2020,255970,Hayden,1109 W Washington,2.5,False,NEAR WEST SIDE,Multifamily Housing,110435.0,2020.0,3185730.0,5929664.5,89.0,147.9,92.2,150.5,812.1,7.9,41.88,-87.6548399
88,2020,255027,,720 S WELLS ST,4.0,False,Loop,Multifamily Housing,563659.0,2018.0,11644228.2,11383738.7,50.6,97.9,51.9,99.4,2422.0,5.3,41.87284786,-87.63364515
89,2020,251588,"Taylor, Douglas -CPS",9912 S Avenue H,2.0,False,EAST SIDE,K-12 School,87628.0,1923.0,1010667.5,9732470.2,122.6,148.9,138.3,165.4,674.7,7.7,41.71516268,-87.5337866
91,2020,251698,Bradwell Arts & Sciences Elementary -CPS,7726 S Burnham,4.0,False,SOUTH SHORE,K-12 School,143266.0,1895.0,1661189.0,4377879.9,42.2,64.6,46.5,69.5,491.8,3.4,41.75447542,-87.55737916
92,2020,175960,,5254  S DORCHESTER AVE,1.0,False,HYDE PARK,Multifamily Housing,64000.0,1925.0,1596529.4,6100596.2,120.3,169.9,125.5,174.6,573.2,9.0,41.80224043,-87.60332678
93,2020,244534,One Museum Park East Condominium Association,1211 S Prairie Ave,4.0,False,NEAR SOUTH SIDE,Multifamily Housing,1151549.0,2008.0,19781459.6,39525344.4,62.3,101.7,64.7,104.3,5186.7,5.4,41.86619413,-87.62121604
94,2020,256422,Materials & Metals Building,3350 S Federal Street,4.0,False,DOUGLAS,College/University,68398.0,1943.0,8148.5,,0.1,0.3,0.1,0.3,1.3,0.0,41.842325,-87.62715344
95,2020,260029,,5724 5734 S BLACKSTONE AVE,4.0,False,HYDE PARK,Multifamily Housing,52272.0,1926.0,545864.8,3010592.1,68.0,89.7,72.0,93.9,245.1,4.7,41.78046327,-87.6053081
96,2020,251491,Frazier International Magnet -CPS,4027 W Grenshaw St,2.5,False,NORTH LAWNDALE,K-12 School,72000.0,1966.0,1264862.9,6140970.0,102.9,138.7,110.9,147.2,523.6,7.3,41.86684246,-87.72623661
97,2020,103597,30 N LaSalle St,30 N LaSalle St,3.5,False,LOOP,Office,1095104.0,1974.0,32826510.8,31469670.8,58.7,114.1,62.2,117.8,6794.7,6.2,41.88284628,-87.63290243
99,2020,103645,203 N LaSalle St,203 N LaSalle St,4.0,False,LOOP,Office,1191631.0,1985.0,34656715.2,400857.8,53.1,147.6,55.3,153.7,5430.1,8.2,41.88606221,-87.63169041
100,2020,161131,731 S Plymouth Ct,731 S Plymouth Ct,3.0,False,LOOP,Multifamily Housing,151865.0,1913.0,6054672.5,2473410.2,56.2,128.7,65.7,143.7,1076.3,7.1,41.87269291,-87.62837598
101,2020,244360,1720 South Michigan Condominium Association,1720 S Michigan Ave,3.5,False,NEAR SOUTH SIDE,Multifamily Housing,684299.0,2007.0,17101534.3,27121534.4,83.7,144.4,87.8,149.5,4109.6,7.8,41.85862339,-87.62421069
102,2020,251651,Gary Elementary -CPS,3740 W 31st St,3.5,False,SOUTH LAWNDALE,K-12 School,132193.0,1911.0,2945797.4,6414819.6,70.8,113.3,78.1,123.5,800.5,6.1,41.83790661,-87.71883999
103,2020,252328,,5630 N Sheridan Ave,3.5,False,EDGEWATER,Multifamily Housing,259996.0,1957.0,3442472.2,17696679.0,88.1,117.6,96.2,126.1,1477.2,6.2,41.98474511,-87.65522225
104,2020,160105,Wyndham Grand Chicago Riverfront,71 E Wacker Dr,2.5,False,LOOP,Hotel,250000.0,2000.0,7420795.6,12522087.3,88.0,143.2,94.5,151.6,1931.9,7.7,41.88737377,-87.62565442
105,2020,251683,Cooper Dual Language Academy -CPS,1624 W 19th St,4.0,False,LOWER WEST SIDE,K-12 School,131200.0,1885.0,1515428.9,2795680.3,32.9,54.7,35.8,58.2,385.0,2.9,41.85622477,-87.66713005
106,2020,172106,,55  W CHESTNUT ST,2.5,False,NEAR NORTH SIDE,Multifamily Housing,220000.0,1957.0,4260700.9,11601290.0,77.4,117.6,80.9,120.1,1281.2,6.2,41.9037528,-87.63558845
107,2020,116408,,3244  W 59TH ST,1.0,False,GAGE PARK,Senior Living Community,60000.0,2005.0,1767828.8,4269800.1,100.6,157.2,104.7,160.8,502.7,8.4,41.77517105,-87.71389848
108,2020,251408,Clissold Elementary -CPS,2330 W 110th Pl,3.0,False,MORGAN PARK,K-12 School,63257.0,1930.0,1366837.9,3532610.3,77.5,119.1,82.4,124.4,401.0,6.3,41.692987,-87.679776
109,2020,160373,Hubbard Place Apartments,360 W Hubbard St,4.0,False,NEAR NORTH SIDE,Multifamily Housing,686958.0,2013.0,13635950.2,19413967.5,66.1,117.1,68.9,120.0,3159.3,6.3,41.89042593,-87.63864217
111,2020,256672,River Walk Townhomes,2903-2923 N Claremont Ave,3.0,False,,Multifamily Housing,96737.0,2004.0,1549174.3,4233378.4,80.6,122.4,83.5,125.5,466.6,6.5,41.88425,-87.63245
112,2020,100631,Hubbard HS -CPS,6200 S Hamlin Ave,4.0,False,WEST LAWN,K-12 School,218200.0,1929.0,2657029.3,8436730.5,50.8,74.7,55.6,79.7,862.8,4.0,41.77984105,-87.71918715
113,2020,237384,Maple Tower Condominiums,1035 N DEARBORN ST,4.0,False,NEAR NORTH SIDE,Multifamily Housing,135086.0,2005.0,4399460.2,869227.2,47.1,118.4,49.7,125.7,732.8,6.6,41.90163587,-87.62949064
114,2020,251518,"Pulaski Fine Arts Academy, Casimir -CPS",2230 W Mclean Ave,2.0,False,LOGAN SQUARE,K-12 School,103904.0,1949.0,3876184.4,6403839.9,98.9,169.2,105.3,178.3,945.1,9.1,41.91878607,-87.68377909
115,2020,254989,Depaul University Holtschneider Performance Center,2330 N HALSTED ST,2.0,False,Lincoln Park,Performing Arts,242343.0,2018.0,5284864.0,14042348.6,104.5,159.7,107.0,162.4,1570.7,8.5,41.92416242,-87.64878559
116,2020,160347,Dwight Lofts LLC,642 S Clark St,4.0,False,LOOP,Multifamily Housing,205348.0,2008.0,7500367.8,9142095.7,84.6,155.5,87.8,158.9,1656.2,8.4,41.87384,-87.630698
117,2020,251600,Mozart -CPS,2200 N Hamlin Ave,3.5,False,LOGAN SQUARE,K-12 School,92365.0,1911.0,1874065.3,4455830.1,68.5,107.5,72.5,111.6,529.2,5.7,41.92132822,-87.72244339
118,2020,251325,Belden-Racine Hall,2311 N Racine Ave,3.0,False,LINCOLN PARK,College/University,68245.0,2000.0,2117149.9,4186854.8,92.4,151.3,96.6,155.8,552.8,8.1,41.92390285,-87.65817716
120,2020,251401,"Neil Elementary, Jane A -CPS",8555 S Michigan Ave,4.0,False,CHATHAM,K-12 School,71870.0,1953.0,333471.8,5564070.3,82.1,94.3,87.5,100.3,347.6,4.8,41.73856744,-87.62024724
122,2020,156373,225 W Ohio St,225 W Ohio St,3.5,False,NEAR NORTH SIDE,Office,60892.0,1907.0,1293163.6,1677071.8,48.8,88.4,50.9,90.6,290.9,4.8,41.89234316,-87.63534055
123,2020,252123,Gary Comer Youth Center (South Shore Drill Team),7200 S Ingleside Ave,2.0,False,GREATER GRAND CROSSING,Other,115500.0,2006.0,3514945.8,1532663.1,63.1,143.1,64.7,144.8,630.0,7.9,41.76400303,-87.60189552
124,2020,165819,Washington Park SRO,5000 5016 S INDIANA AVE,4.0,False,GRAND BOULEVARD,Multifamily Housing,97465.0,1982.0,1487504.1,2343124.9,39.3,68.0,39.3,68.0,356.6,3.7,41.80363832,-87.62178136
125,2020,101713,Aon Center,200 E Randolph St,4.0,False,LOOP,Office,3457865.0,1972.0,88649320.1,74788659.9,68.6,118.1,70.0,119.7,20741.2,6.5,41.88529085,-87.62152084
126,2020,101799,200 S Wacker Property LLC,200 S Wacker Dr,3.0,False,LOOP,Office,865070.0,1981.0,43810653.1,,52.0,145.5,53.6,150.1,6837.5,8.1,41.87902474,-87.63734431
127,2020,111837,Marlborough Condominium Association,400 414 W DEMING PL,4.0,False,LINCOLN PARK,Multifamily Housing,196000.0,1912.0,2107442.3,11078440.1,67.3,89.5,71.1,92.9,917.3,4.7,41.92201051,-87.65461957
128,2020,252031,57135-Chicago-Downtown,201 E Walton Pl,4.0,False,NEAR NORTH SIDE,Hotel,177137.0,1987.0,5515610.6,12566948.8,102.1,161.7,105.7,164.7,1528.3,8.6,41.89981331,-87.62141411
129,2020,244318,The Edge Lofts & Tower Condominium Association,210 S Des Plaines St,1.0,False,NEAR WEST SIDE,Multifamily Housing,353135.0,2004.0,8998699.6,18600712.2,116.0,188.1,119.2,190.8,2392.4,10.1,41.87894567,-87.64445559
130,2020,251530,Pasteur Elementary -CPS,5825 S Kostner Ave,4.0,False,WEST ELSDON,K-12 School,98900.0,1927.0,1704448.1,3629759.9,53.9,86.8,59.2,93.1,458.8,4.6,41.78617286,-87.73238001
132,2020,175751,"750 Orleans, Inc.",750 N Orleans St,4.0,False,NEAR NORTH SIDE,Office,74458.0,1903.0,4350201.1,,58.4,163.6,63.1,176.7,678.9,9.1,41.89611172,-87.63720777
134,2020,251692,Nightingale Elementary -CPS,5250 S Rockwell St,2.0,False,GAGE PARK,K-12 School,140838.0,1926.0,4481327.7,7751970.2,86.9,146.9,90.5,151.0,1111.1,7.9,41.79805484,-87.68983953
135,2020,148480,,865  N LARRABEE ST,3.0,False,NEAR NORTH SIDE,Multifamily Housing,80457.0,2006.0,1860328.2,3271503.8,63.8,107.4,64.8,108.1,464.1,5.8,41.9037528,-87.63558845
136,2020,101756,Cook County Building,118 N Clark St,3.5,False,LOOP,Office,638592.0,1906.0,31463456.1,30530798.1,97.1,188.2,101.5,192.8,6532.1,10.2,41.88385328,-87.63167966
137,2020,112801,,5740  N SHERIDAN RD,3.0,False,EDGEWATER,Multifamily Housing,104500.0,1977.0,1708541.9,6542596.4,93.8,132.4,102.9,141.5,614.2,7.0,41.99090057,-87.66660744
139,2020,252127,Circa 922,922 W Washington Blvd,3.0,False,Near West Side,Multifamily Housing,204813.0,2015.0,4917504.0,7406928.1,78.4,137.0,80.7,139.0,1160.9,7.4,41.8831353,-87.65056
140,2020,188280,,5200 5208 S BLACKSTONE AVE,1.5,False,HYDE PARK,Multifamily Housing,148157.0,1930.0,5502344.4,5397899.8,73.6,142.2,77.3,150.4,1145.5,7.7,41.8007869,-87.59048115
141,2020,130758,,651  S WELLS ST,3.5,False,LOOP,Multifamily Housing,99552.0,1950.0,3552011.1,,35.7,99.9,37.7,105.6,554.4,5.6,41.87399385,-87.651678
142,2020,159892,Promontory Apartments,5530 S SHORE DR,3.5,False,HYDE PARK,Multifamily Housing,180351.0,1949.0,3265741.3,13586599.8,93.4,129.8,98.8,135.2,1231.3,6.8,41.794687,-87.58046479
144,2020,260149,Riverside Square and River's Edge - Chicago,3145 S Ashland Ave,4.0,False,MCKINLEY PARK,Supermarket/Grocery Store,74495.0,1987.0,2501105.3,1713599.9,56.6,118.2,,,481.4,6.5,41.8365795,-87.66384491
145,2020,251260,The Belmont by Reside,3170 N Sheridan Rd,3.5,False,LAKE VIEW,Multifamily Housing,475020.0,1924.0,7579433.3,19817492.8,57.7,88.5,59.5,90.4,2235.5,4.7,41.93973305,-87.64000019
146,2020,104226,,606 620 W CORNELIA AVE,4.0,False,LAKE VIEW,Multifamily Housing,81300.0,1969.0,997624.4,4131599.4,70.6,98.1,74.2,101.7,375.1,5.2,41.9398511,-87.65844752
147,2020,118695,,2825  S HALSTED,3.0,False,BRIDGEPORT,Senior Living Community,69455.0,2005.0,1878200.2,4062399.6,85.5,137.1,88.8,140.3,508.9,7.3,41.84915346,-87.67089596
148,2020,255017,Midway Pointe Senior Residences,5011 W 47TH ST,4.0,False,Garfield Ridge,Multifamily Housing,88080.0,2017.0,2168049.7,1491337.5,41.5,86.7,43.0,89.2,417.6,4.7,41.80752955,-87.74863158
149,2020,256680,Old Town Village East,1205-1255 N Orleans Court,4.0,False,,Multifamily Housing,127872.0,2006.0,904118.5,1933907.4,44.0,70.8,45.8,72.5,243.8,3.8,41.90423,-87.638225
150,2020,252216,Beach Point Tower Condominium Association,5801 N Sheridan Rd,1.0,False,EDGEWATER,Multifamily Housing,160000.0,1956.0,2879608.5,12834131.1,98.2,134.6,107.5,142.7,1131.1,7.1,41.98760277,-87.65521384
151,2020,233760,Park Newberry Condominiums,55 W Delaware Pl,1.0,False,NEAR NORTH SIDE,Multifamily Housing,354934.0,1995.0,10694320.7,23494153.0,131.5,210.0,137.5,215.6,2916.9,11.2,41.89821936,-87.63056762
152,2020,103766,640 N LaSalle Dr,640 N LaSalle St,4.0,False,NEAR NORTH SIDE,Office,329845.0,1969.0,16202311.9,2245160.3,65.3,169.0,68.4,175.1,2647.9,9.4,41.89361489,-87.63342151
