,Data Year,ID,Property Name,Address,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,Electricity Use (kBtu),Natural Gas Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude
1945,2020,105987,,7020 7038 S JEFFERY BLVD,1.0,False,SOUTH SHORE,Multifamily Housing,125000.0,1925.0,1402059.1,13884960.5,122.3,148.0,129.6,155.7,956.3,7.7,41.76259226,-87.57231648
1946,2020,251438,"Stockton Specialty, Joseph -CPS",4420 N Beacon St,3.5,False,UPTOWN,K-12 School,112070.0,1925.0,2777711.0,3871190.1,59.3,105.7,61.7,108.2,639.1,5.7,41.96230386,-87.66415926
1947,2020,256827,,6950 N Hiawatha Avenue,4.0,False,,K-12 School,60018.0,1944.0,221915.3,2189720.1,40.2,48.7,46.1,55.1,150.9,2.5,41.99103,-87.741635
1948,2020,102585,Chicago State University Campus,9501 S Martin Luther King Dr,3.0,False,ROSELAND,College/University,1170487.0,1971.0,51376816.2,75457753.5,108.4,190.6,113.2,195.5,12026.3,10.3,41.71825101,-87.61135684
1950,2020,106109,,1117 1123 N DEARBORN ST,4.0,False,NEAR NORTH SIDE,Multifamily Housing,83916.0,1929.0,1126737.9,4743179.4,69.9,96.9,73.1,99.8,427.8,5.1,41.9037528,-87.63558845
1951,2020,255756,ASPIRA Business and Finance High School,2989 N Milwaukee Ave,4.0,False,Avondale,K-12 School,98920.0,2015.0,2143806.3,2539312.9,57.1,105.7,59.3,108.0,469.5,5.7,41.9556251,-87.705835
1954,2020,251912,"Sherman Elementary, William T -CPS",1000 W 52nd St,2.0,False,NEW CITY,K-12 School,58451.0,1937.0,2790482.4,1610440.2,75.3,162.6,80.1,172.4,521.0,8.9,41.80002439,-87.65049754
1955,2020,173617,,105 W MADISON ST,1.5,False,LOOP,Office,140000.0,1928.0,8868736.3,6862699.8,112.4,228.8,116.2,232.9,1748.6,12.5,41.88195371,-87.63114001
1956,2020,254043,"North Center Senior Housing, NFP (St. Vincent DePaul Residence)",4040 N Oakley St,4.0,False,North Center,Multifamily Housing,114602.0,2007.0,1604636.3,3690092.0,62.5,98.7,64.0,100.3,446.4,5.3,41.94662098,-87.70269173
1959,2020,100485,,1900 1910 W FARWELL AVE,2.5,False,ROGERS PARK,Multifamily Housing,59000.0,1915.0,760319.8,3931632.4,79.5,106.1,87.2,114.1,327.5,5.6,42.01036185,-87.66829765
1961,2020,160070,777 North Michigan Condo Association,777 N Michigan Ave,3.5,False,NEAR NORTH SIDE,Multifamily Housing,443907.0,1964.0,8830941.9,18225823.0,68.8,111.5,71.9,114.6,2346.3,6.0,41.89640687,-87.62384668
1962,2020,121222,,4500  N WINCHESTER AVE,1.0,False,LINCOLN SQUARE,Multifamily Housing,81094.0,1968.0,2454835.1,7569725.3,123.6,182.8,130.4,189.9,785.2,9.7,41.97223008,-87.6645957
1963,2020,103733,International Tower,8550 W Bryn Mawr Ave,4.0,False,OHARE,Office,433339.0,1969.0,12172067.6,17370620.0,95.0,168.3,94.0,167.2,2822.3,9.1,41.981083,-87.840286
1964,2020,160329,Lafayette Plaza Housing Cooperative,50 W 71st St,2.5,False,GREATER GRAND CROSSING,Multifamily Housing,273708.0,1965.0,3937946.3,19457800.1,104.4,140.4,108.6,144.8,1648.1,7.4,41.76573166,-87.62237195
1965,2020,100598,Farragut Career Academy HS -CPS,2345 S Christiana Ave,1.0,False,SOUTH LAWNDALE,K-12 School,359255.0,1909.0,27468314.6,9309760.2,102.4,241.3,106.1,248.7,4781.4,13.3,41.84837118,-87.70825259
1966,2020,101762,Richard J Daley Center,50 W Washington,3.5,False,LOOP,Courthouse,1593714.0,1965.0,45571417.1,65724181.5,72.2,127.5,75.2,130.6,10603.2,6.9,41.88409726,-87.63019634
1967,2020,256781,,754 S WABASH AVE,4.0,False,Loop,College/University,122256.0,2019.0,3401542.3,2349539.9,47.0,98.1,49.3,100.5,610.6,5.0,41.869255,-87.626255
1969,2020,172900,Victory Centre of Galewood,2370 N Newcastle Ave,2.5,False,MONTCLARE,Senior Living Community,78317.0,2009.0,2838555.4,3456299.9,80.4,147.8,83.4,151.0,626.6,8.0,41.92313292,-87.79709824
1970,2020,252046,Henry Crown Field House,5550 S University Ave,3.0,False,HYDE PARK,Fitness Center/Health Club/Gym,146501.0,1932.0,2624312.5,41130.0,52.6,91.8,55.6,95.5,746.2,5.1,41.7941,-87.598143
1971,2020,165717,"Moody Bible Institute, Solheim Center",930 N Wells St,4.0,False,NEAR NORTH SIDE,College/University,77807.0,1990.0,1841456.4,698911.2,32.6,75.7,35.6,78.8,324.5,4.2,41.90017901,-87.63514409
1973,2020,254536,Optima Signature Apartments,220 E Illinois St,4.0,False,Near North Side,Multifamily Housing,872200.0,2017.0,18994388.8,14847770.0,38.8,78.9,39.6,79.7,3753.1,4.3,41.89535128,-87.62272623
1974,2020,172306,,900 910 W VANBUREN ST,4.0,False,NEAR WEST SIDE,Office,77000.0,1904.0,3347049.1,986304.8,56.3,135.2,59.9,143.5,574.8,7.5,41.87685357,-87.64987929
1975,2020,254309,Old Town Midrise Condo,343 W Old Town Court,2.0,False,Near North Side,Multifamily Housing,110500.0,2002.0,1938016.0,8526409.5,115.6,158.9,115.6,158.9,755.3,8.3,41.8842525,-87.63245
1976,2020,146828,,1373 1383 W GREENLEAF AVE,4.0,False,ROGERS PARK,Multifamily Housing,75435.0,1925.0,541945.0,3863300.7,58.4,73.9,62.9,78.3,289.8,3.8,42.01036185,-87.66829765
1977,2020,105288,"Mireles Academy, Arnold -CPS",9000 S Exchange Ave,3.5,False,SOUTH CHICAGO,K-12 School,144246.0,1925.0,3135014.1,5988349.9,63.2,104.4,70.6,116.2,807.3,5.6,41.73179,-87.552681
1978,2020,173927,Residence Hall and Student Center: Catholic Theological Union,5401 S CORNELL AVE,3.0,False,HYDE PARK,Residence Hall/Dormitory,90770.0,1924.0,4096235.5,854900.0,54.5,136.2,58.0,144.2,684.7,7.5,41.79809371,-87.5847824
1979,2020,251908,Pilsen Comm Academy -CPS,1420 W 17th St,4.0,False,LOWER WEST SIDE,K-12 School,81769.0,1899.0,1043444.3,4536360.2,68.2,94.0,72.6,99.3,403.8,4.9,41.85902701,-87.66243324
1980,2020,251414,Dumas Elementary -CPS,6650 S Ellis Ave,2.0,False,WOODLAWN,K-12 School,64558.0,1963.0,1352484.5,5332929.9,103.6,145.4,109.6,151.7,494.3,7.7,41.77374217,-87.60122846
